,elapsed_time,set_no,game_no,p1_score,p2_score,winner_shot_type,loser_shot_type,p1_unf_err,p2_unf_err,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner
70,0:46:23,2,1,30,40,,,1,0,0,0,0,0,0,0,0,0
71,0:47:14,2,2,AD?,AD?,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
72,0:47:41,2,2,15,0,forehand winner,,0,0,0,1,0,0,0,0,0,1
73,0:48:03,2,2,30,0,,backhand forced error,1,0,0,0,0,0,0,0,0,0
74,0:48:22,2,2,40,0,,backhand forced error,0,1,0,0,0,0,0,0,0,0
75,0:48:52,2,2,40,15,backhand winner,,0,0,1,0,0,0,0,0,1,0
76,0:49:37,2,2,40,30,forehand winner,,0,0,1,0,0,0,0,0,1,0
77,0:49:59,2,2,40,40,,double fault,0,0,0,0,0,0,0,0,0,0
78,0:50:32,2,2,40,AD,,,1,0,0,0,0,0,0,0,0,0
79,0:50:52,2,2,40,40,forehand winner,,0,0,1,0,0,0,0,0,1,0
80,0:51:33,2,2,40,AD,,,0,1,0,0,0,0,0,0,0,0
81,0:52:19,2,3,AD?,AD?,,forehand forced error,0,1,0,0,0,0,0,0,0,0
82,0:52:53,2,3,15,0,forehand winner,,0,0,1,0,0,0,0,0,1,0
83,0:53:44,2,3,30,0,,backhand forced error,0,1,0,0,0,0,0,0,0,0
84,0:54:19,2,3,40,0,,,0,0,0,0,1,0,0,0,0,0
85,0:56:03,2,4,AD?,AD?,,backhand forced error,1,0,0,0,0,0,0,0,0,0
86,0:56:35,2,4,15,0,backhand winner,,0,0,1,0,0,0,0,0,1,0
87,0:57:09,2,4,15,15,,forehand forced error,0,1,0,0,0,0,0,0,0,0
88,0:57:44,2,4,15,30,backhand winner,,0,0,0,1,0,0,0,0,0,1
89,0:58:27,2,4,30,30,,backhand forced error,0,1,0,0,0,0,0,0,0,0
90,0:59:00,2,4,30,40,,,0,1,0,0,0,0,0,0,0,0
91,0:59:44,2,5,AD?,AD?,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
92,1:00:04,2,5,0,15,,forehand forced error,1,0,0,0,0,0,0,0,0,0
93,1:00:37,2,5,0,30,backhand winner,,0,0,1,0,0,0,0,0,1,0
94,1:01:04,2,5,15,30,,backhand unforced error,0,1,0,0,0,0,0,0,0,0
95,1:01:36,2,5,30,30,,forehand forced error,1,0,0,0,0,0,0,0,0,0
96,1:02:11,2,5,30,40,,,1,0,0,0,0,0,0,0,0,0
97,1:04:12,2,6,AD?,AD?,,forehand unforced error,1,0,0,0,0,0,0,0,0,0
98,1:04:33,2,6,15,0,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
99,1:05:08,2,6,30,0,,double fault,0,0,0,0,0,0,0,0,0,0
100,1:05:37,2,6,30,15,forehand volley winner,,0,0,1,0,0,0,0,0,1,0
101,1:06:43,2,6,30,30,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
102,1:07:25,2,6,40,30,,,1,0,0,0,2,0,0,0,0,0
103,1:08:22,2,7,AD?,AD?,backhand volley winner,,0,0,1,0,0,0,0,0,1,0
104,1:08:58,2,7,15,0,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
105,1:09:35,2,7,15,15,,forehand forced error,1,0,0,0,0,0,0,0,0,0
106,1:10:08,2,7,15,30,,forehand unforced error,0,1,0,0,0,0,0,0,0,0
107,1:10:34,2,7,30,30,service winner,,0,0,1,0,0,0,0,0,1,0
108,1:10:49,2,7,40,30,,,0,0,0,0,1,0,0,0,0,0
109,1:12:23,2,8,AD?,AD?,,backhand forced error,1,0,0,0,0,0,0,0,0,0
110,1:12:47,2,8,15,0,service winner,,0,0,0,1,0,0,0,0,0,1
111,1:13:04,2,8,30,0,,double fault,0,0,0,0,0,0,0,0,0,0
112,1:13:35,2,8,30,15,backhand winner,,0,0,0,1,0,0,0,0,0,1
113,1:13:56,2,8,40,15,,,1,0,0,0,2,0,0,0,0,0
114,1:14:34,2,9,AD?,AD?,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
115,1:14:52,2,9,0,15,forehand smash winner,,0,0,1,0,0,0,0,0,1,0
116,1:15:22,2,9,15,15,,forehand unforced error,1,0,0,0,0,0,0,0,0,0
117,1:15:51,2,9,15,30,forehand volley winner,,0,0,1,0,0,0,0,0,1,0
118,1:16:14,2,9,30,30,,forehand unforced error,1,0,0,0,0,0,0,0,0,0
119,1:16:33,2,9,30,40,,,1,0,0,0,0,0,0,0,0,0
120,1:18:13,2,10,AD?,AD?,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
121,1:18:48,2,10,15,0,,backhand forced error,1,0,0,0,0,0,0,0,0,0
122,1:19:16,2,10,30,0,,forehand forced error,1,0,0,0,0,0,0,0,0,0
123,1:19:57,2,10,40,0,,double fault,0,0,0,0,0,0,0,0,0,0
124,1:20:28,2,10,40,15,,,0,0,0,0,0,0,0,0,0,0
